shape, chamfer_dist
ShapeNetV2/04256520/5f5150a80e5be6159141f9b58470d646, 2.3450755063807032e-05
ShapeNetV2/04256520/63865747038e4c66c35131da26f8061a, 0.00030628746728056437
ShapeNetV2/04256520/638c8ca3dc94b152f6d79b8d34aa426a, 0.00010626554054120254
ShapeNetV2/04256520/682bc1622b438e58dd97e8e261a01f65, 0.00011303814111964418
ShapeNetV2/04256520/683fbc39025b9b75e71d6290824c2748, 8.735503107478239e-05
ShapeNetV2/04256520/68712432581f8a855739643afbd8c926, 5.582260219969062e-05
ShapeNetV2/04256520/68fce005fd18b5af598a453fd9fbd988, 0.00021233904386825622
ShapeNetV2/04256520/5e9a36c61649952f555740dfce3e4a45, 5.817844687618441e-05
ShapeNetV2/04256520/6c74c7ab655d540dfebad4f49b26ec52, 0.00033648886085745056
ShapeNetV2/04256520/6d7972e468db59a6613f0dbd986ed6f8, 0.0001379477062784904
ShapeNetV2/04256520/6f0477514eb4f9319b0530265e62c9b7, 0.00022299127365290155
ShapeNetV2/04256520/6f0f6571f173bd90f9883d2fd957d60f, 6.37069175188364e-05
ShapeNetV2/04256520/711c7f25142a3e2a57253dccd1b3fd5, 8.5421709368162e-05
ShapeNetV2/04256520/71783c8431b28220593ebeeedbff73b, 6.03383211129463e-05
ShapeNetV2/04256520/717e503b3846d60ee8f8c11a24c52ebb, 5.6736761479778925e-05
ShapeNetV2/04256520/71a4f27e4c6fa0a1362d127df6d94eb, 0.0001255903460689577
ShapeNetV2/04256520/725def83aa65422dd4fd21ba7448467e, 0.0004117467158424188
ShapeNetV2/04256520/7461a53eae4126a79fcf47c4eee9d700, 4.877852178913401e-05
ShapeNetV2/04256520/7577bddda1f3b6de73a5c8eabcf6c479, 7.739244474818673e-05
ShapeNetV2/04256520/75850c6e67073a2a593ebeeedbff73b, 0.00012281106922876125
ShapeNetV2/04256520/75a451559a48b42f6e525b37bf033529, 3.78910018377399e-05
ShapeNetV2/04256520/75fa63a7576e2f509ae676623bdd3284, 9.045241796312638e-05
ShapeNetV2/04256520/7a379a92b40f0efb3920d120afd003e0, 0.0004724683355573695
ShapeNetV2/04256520/7b9d9c738c6042ad1c2c02171f63f02f, 0.00010062088714029549
ShapeNetV2/04256520/7c68894c83afb0118e8dcbd53cc631ab, 0.00013898986986860538
ShapeNetV2/04256520/7c8dfc67f9d03d02bddaa551be7f3f7d, 5.6629830369251104e-05
ShapeNetV2/04256520/7cf34cdf58717ef0826fc8d57346a2e4, 7.960746239493016e-05
ShapeNetV2/04256520/7db3c05e67e9b847393b0262b4e8b707, 9.85522588613971e-05
ShapeNetV2/04256520/7dbdddc3a60664f9e87dd5740f9baf65, 6.964655792120978e-05
ShapeNetV2/04256520/8043ff469c9bed4d48c575435d16be7c, 8.635151393835403e-05
ShapeNetV2/04256520/81018f492277b7649f13e3294f6a3574, 0.00011415682733297548
ShapeNetV2/04256520/8112da888f66bbf3c1a52e5a697bb944, 0.0001399180177524028
ShapeNetV2/04256520/81d5e6d8bef76a51ba6c2a353e21dbe8, 4.6664106686042026e-05
ShapeNetV2/04256520/83ce58add39dd471d314007fddce52b0, 3.5641696259461225e-05
ShapeNetV2/04256520/7550aa9d29f252611431dc89d81d788b, 9.294364699858086e-05
ShapeNetV2/04256520/85a8fa447231a4fe2d19175e7d19b7cb, 5.822852693190833e-05
ShapeNetV2/04256520/875c7185cce6b8b0813204830fbed813, 0.00014948824165179507
ShapeNetV2/04256520/8b066cf28fc1319da11411fb873de302, 0.00023809956772231564
ShapeNetV2/04256520/8c69c0bafdf91e85c05575120a46cd3b, 0.00016928052016040163
ShapeNetV2/04256520/8cb3672d113ac9aaef188758bf2e3a30, 5.70873286297316e-05
ShapeNetV2/04256520/8e9de6e848ed53a248cfc982ba61d3a1, 5.594123717051636e-05
ShapeNetV2/04256520/8ed3fa69c808741a42e1bb4fe264125f, 9.990613156892251e-05
ShapeNetV2/04256520/94699d5b8a8682067ff6ace05b36a5, 0.0003231989244166599
ShapeNetV2/04256520/9a7f267890144d4a7afe2ae8eef63a8c, 5.1833106902071386e-05
ShapeNetV2/04256520/9ab0a81e580dc1f4f008d8a3590fb522, 0.0001662009965972339
ShapeNetV2/04256520/91cace4fc498690119f778c7a8b12264, 6.662235826808944e-05
ShapeNetV2/04256520/979ca0cbd4bffe37c7b11e86284a2e, 0.00011076052773907057
ShapeNetV2/04256520/9e18b198e803af3513f0322d0d7e53c7, 0.00013552562078248016
ShapeNetV2/04256520/9eaaf854334b3bca676de9b6e111da8b, 0.00010534711243941438
ShapeNetV2/04256520/9fada8462006e138efc579970fcfc006, 0.0009502638124345439
ShapeNetV2/04256520/a0608ab77f25ae922b8f1e4489d2e1b1, 3.384514728878733e-05
ShapeNetV2/04256520/a078e45c64ef80954a4ccb8d69e8d887, 8.509648895213292e-05
ShapeNetV2/04256520/a126dacc76977e063755f577b497208, 9.575079792166884e-05
ShapeNetV2/04256520/a19aacbd84e0ddd92bf36b92481c5940, 0.00011139830171507299
ShapeNetV2/04256520/a207c52399b289be9657063f91d78d19, 0.00015056912203861823
ShapeNetV2/04256520/a247bf1e595abd266080784e4b7841e1, 6.818896963455004e-05
ShapeNetV2/04256520/a3d8fb85de7cf56fb2d2900ee0ae7e0, 0.00013978155312051983
ShapeNetV2/04256520/a513bc9521717f2593ebeeedbff73b, 0.00014933088348278715
ShapeNetV2/04256520/a65534c7545a4b3a19fb4103277a6b93, 0.0002141097949222664
ShapeNetV2/04256520/a76a2d34a1aca99611e76965808086c8, 0.0002659268924390384
ShapeNetV2/04256520/a8f10f404b317af4946789884353d9f6, 0.0004669041311154246
ShapeNetV2/04256520/a9a8156722fa81dcbc36ee6cb276b00a, 3.144228116048804e-05
ShapeNetV2/04256520/a9da19aecc65656019fb4103277a6b93, 0.00020272151777486695
ShapeNetV2/04256520/ace4472862ff3f6d917b96045c9b6dea, 5.9252983351244285e-05
ShapeNetV2/04256520/b2f2058ab083cfa0a8055fb11b774454, 0.00014144582681292458
ShapeNetV2/04256520/b351e06f5826444c19fb4103277a6b93, 7.127400928279854e-05
ShapeNetV2/04256520/a2bdc3a6cb13bf197a969536c4ba7f8, 4.725169735893766e-05
ShapeNetV2/04256520/a8ff859fcdae8f70f2543b208c9ee8e2, 3.573240238656941e-05
ShapeNetV2/04256520/ac36eabbb3b405d3473f10e6caaeca56, 5.1384363330164763e-05
ShapeNetV2/04256520/b1f4e7cd4a1b24b4e086fd45e580f116, 0.00011571005033892917
ShapeNetV2/04256520/bb31bd378273e437f4b35f4029eb1ecf, 0.00014765630349756814
ShapeNetV2/04256520/b403f11f5ea4a6a9d8c9ac981f1e537a, 4.776787302365864e-05
